transID,blastNR,proteinID,geneName,CDSID,geneID
MSTRG.1733.1.p1.p1,sp|P00978|AMBP_BOVIN,P00978,AMBP,MSTRG.1733.1.p1,MSTRG.1733
MSTRG.1710.1.p3.p1,sp|Q5R8A4|AL9A1_PONAB,Q5R8A4,ALDH9A1,MSTRG.1710.1.p3,MSTRG.1710
MSTRG.1710.1.p3.p3,sp|Q9JLJ3|AL9A1_RAT,Q9JLJ3,ALDH9A1,MSTRG.1710.1.p3,MSTRG.1710
Ler_59193.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_59193.p1,nbisL1-mrna-1021
Ler_225828.p1.p1,sp|Q86YH6|DLP1_HUMAN,Q86YH6,PDSS2,Ler_225828.p1,nbisL1-mrna-776
MSTRG.1497.3.p6.p1,sp|Q5VU43|MYOME_HUMAN,Q5VU43,PDE4DIP,MSTRG.1497.3.p6,MSTRG.1497
MSTRG.1497.3.p6.p6,sp|Q19UN5|CK5P2_PANTR,Q19UN5,CDK5RAP2,MSTRG.1497.3.p6,MSTRG.1497
MSTRG.1727.1.p5.p1,sp|P54281|CLCA1_BOVIN,P54281,#N/A,MSTRG.1727.1.p5,MSTRG.1727
Ler_373040.p1.p1,sp|Q92845|KIFA3_HUMAN,Q92845,KIFAP3,Ler_373040.p1,nbisL1-mrna-900
Ler_373040.p1.p3,sp|P70188|KIFA3_MOUSE,P70188,KIFAP3,Ler_373040.p1,nbisL1-mrna-900
Ler_373040.p1.p4,sp|Q92845|KIFA3_HUMAN,Q92845,KIFAP3,Ler_373040.p1,nbisL1-mrna-900
Ler_373040.p1.p5,sp|Q92845|KIFA3_HUMAN,Q92845,KIFAP3,Ler_373040.p1,nbisL1-mrna-900
Ler_325115.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_325115.p1,nbisL1-mrna-811
MSTRG.1658.1.p1.p1,sp|Q65Z40|WAPL_MOUSE,Q65Z40,WAPL,MSTRG.1658.1.p1,MSTRG.1658
Ler_183028.p1.p1,sp|Q8N239|KLH34_HUMAN,Q8N239,KLHL34,Ler_183028.p1,nbisL1-mrna-1040
Ler_143334.p4.p4,sp|Q96LT9|RNPC3_HUMAN,Q96LT9,RNPC3,Ler_143334.p4,nbisL1-mrna-766
MSTRG.1672.13.p2.p1,sp|Q6ZV29|PLPL7_HUMAN,Q6ZV29,PNPLA7,MSTRG.1672.13.p2,MSTRG.1672
MSTRG.1672.13.p2.p2,sp|Q6ZV29|PLPL7_HUMAN,Q6ZV29,PNPLA7,MSTRG.1672.13.p2,MSTRG.1672
MSTRG.1577.2.p1.p1,sp|P00519|ABL1_HUMAN,P00519,ABL1,MSTRG.1577.2.p1,MSTRG.1577
MSTRG.1688.4.p3.p1,sp|Q3TQQ9|FIRRM_MOUSE,Q3TQQ9,FIRRM,MSTRG.1688.4.p3,MSTRG.1688
MSTRG.1688.4.p3.p3,sp|Q5XI94|FIRRM_RAT,Q5XI94,FIRRM,MSTRG.1688.4.p3,MSTRG.1688
MSTRG.1688.4.p3.p4,sp|Q5TYP4|FIRRM_DANRE,Q5TYP4,FIRRM,MSTRG.1688.4.p3,MSTRG.1688
MSTRG.1736.1.p1.p1,sp|Q14692|BMS1_HUMAN,Q14692,BMS1,MSTRG.1736.1.p1,MSTRG.1736
MSTRG.1736.1.p1.p2,sp|Q14692|BMS1_HUMAN,Q14692,BMS1,MSTRG.1736.1.p1,MSTRG.1736
MSTRG.1736.1.p1.p7,sp|Q14692|BMS1_HUMAN,Q14692,BMS1,MSTRG.1736.1.p1,MSTRG.1736
MSTRG.1768.1.p1.p1,sp|Q9Y3A6|TMED5_HUMAN,Q9Y3A6,TMED5,MSTRG.1768.1.p1,MSTRG.1768
Ler_313803.p1.p1,sp|O88351|IKKB_MOUSE,O88351,IKBKB,Ler_313803.p1,nbisL1-mrna-966
Ler_313803.p1.p3,sp|Q5ZJB4|IKKA_CHICK,Q5ZJB4,CHUK,Ler_313803.p1,nbisL1-mrna-966
Ler_294195.p1.p6,sp|P14885|GELS_XENLA,P14885,GSN,Ler_294195.p1,nbisL1-mrna-919
Ler_355976.p1.p1,sp|Q08DN7|VAV_BOVIN,Q08DN7,VAV1,Ler_355976.p1,nbisL1-mrna-932
Ler_355976.p1.p3,sp|Q60992|VAV2_MOUSE,Q60992,VAV2,Ler_355976.p1,nbisL1-mrna-932
Ler_355976.p1.p7,sp|Q9R0C8|VAV3_MOUSE,Q9R0C8,VAV3,Ler_355976.p1,nbisL1-mrna-932
MSTRG.1729.3.p1.p1,sp|P54281|CLCA1_BOVIN,P54281,#N/A,MSTRG.1729.3.p1,MSTRG.1729
MSTRG.1520.2.p1.p1,sp|P17702|RL28_RAT,P17702,RPL28,MSTRG.1520.2.p1,MSTRG.1520
Ler_313697.p1.p1,sp|Q9Y6U3|SCIN_HUMAN,Q9Y6U3,SCIN,Ler_313697.p1,nbisL1-mrna-910
Ler_313697.p1.p3,sp|Q5ZIV9|SCIN_CHICK,Q5ZIV9,SCIN,Ler_313697.p1,nbisL1-mrna-910
Ler_313697.p1.p9,sp|Q60604|SCIN_MOUSE,Q60604,SCIN,Ler_313697.p1,nbisL1-mrna-910
Ler_325139.p1.p1,sp|E7E2N8|GILT_CARAU,E7E2N8,IFI30,Ler_325139.p1,nbisL1-mrna-809
Ler_325139.p1.p2,sp|E7E2N8|GILT_CARAU,E7E2N8,IFI30,Ler_325139.p1,nbisL1-mrna-809
MSTRG.1841.1.p16.p1,sp|P46531|NOTC1_HUMAN,P46531,NOTCH1,MSTRG.1841.1.p16,MSTRG.1841
Ler_126691.p2.p2,sp|Q6PC93|NMNA2_DANRE,Q6PC93,NMNAT2,Ler_126691.p2,nbisL1-mrna-1032
MSTRG.1532.1.p1.p1,sp|Q8IYH5|ZZZ3_HUMAN,Q8IYH5,ZZZ3,MSTRG.1532.1.p1,MSTRG.1532
MSTRG.1567.1.p1.p1,sp|Q8R4F1|NTNG2_MOUSE,Q8R4F1,NTNG2,MSTRG.1567.1.p1,MSTRG.1567
MSTRG.1541.5.p2.p1,sp|Q6DCD0|STRBP_XENLA,Q6DCD0,STRBP,MSTRG.1541.5.p2,MSTRG.1541
MSTRG.1541.5.p2.p2,sp|Q91550|ILF3A_XENLA,Q91550,ILF3-A,MSTRG.1541.5.p2,MSTRG.1541
Ler_313764.p1.p1,sp|Q9DAI4|ZBT43_MOUSE,Q9DAI4,ZBTB43,Ler_313764.p1,nbisL1-mrna-974
Ler_313764.p1.p4,sp|O15209|ZBT22_HUMAN,O15209,ZBTB22,Ler_313764.p1,nbisL1-mrna-974
MSTRG.1817.1.p2.p2,sp|P0CV25|RLR78_PLAVT,P0CV25,RXLR78,MSTRG.1817.1.p2,MSTRG.1817
MSTRG.1820.1.p1.p1,sp|Q9UJF2|NGAP_HUMAN,Q9UJF2,RASAL2,MSTRG.1820.1.p1,MSTRG.1820
MSTRG.1820.1.p1.p6,sp|Q6P730|DAB2P_RAT,Q6P730,DAB2IP,MSTRG.1820.1.p1,MSTRG.1820
Ler_246327.p1.p1,sp|P14381|YTX2_XENLA,P14381,#N/A,Ler_246327.p1,nbisL1-mrna-862
Ler_246327.p1.p2,sp|Q95SX7|RTBS_DROME,Q95SX7,RTASE,Ler_246327.p1,nbisL1-mrna-862
Ler_59126.p1.p1,sp|Q8N9H8|MUT7_HUMAN,Q8N9H8,EXD3,Ler_59126.p1,nbisL1-mrna-843
Ler_164011.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_164011.p1,nbisL1-mrna-888
Ler_93401.p7.p3,sp|Q9N126|RDH8_BOVIN,Q9N126,RDH8,Ler_93401.p7,nbisL1-mrna-863
Ler_340585.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_340585.p1,nbisL1-mrna-815
Ler_340623.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_340623.p1,nbisL1-mrna-993
Ler_356006.p2.p2,sp|Q3T0T7|SAR1B_BOVIN,Q3T0T7,SAR1B,Ler_356006.p2,nbisL1-mrna-824
MSTRG.1679.1.p1.p1,sp|Q5ZJK0|RGPS1_CHICK,Q5ZJK0,RALGPS1,MSTRG.1679.1.p1,MSTRG.1679
MSTRG.1746.2.p1.p1,sp|Q00577|PURA_HUMAN,Q00577,PURA,MSTRG.1746.2.p1,MSTRG.1746
MSTRG.1746.2.p1.p7,sp|P42669|PURA_MOUSE,P42669,PURA,MSTRG.1746.2.p1,MSTRG.1746
MSTRG.1550.1.p1.p1,sp|A5PLK6|RGSL_HUMAN,A5PLK6,RGSL1,MSTRG.1550.1.p1,MSTRG.1550
MSTRG.1675.1.p1.p1,sp|P19336|CCN1_CHICK,P19336,CCN1,MSTRG.1675.1.p1,MSTRG.1675
MSTRG.1653.1.p1.p1,sp|A6X942|SH24B_MOUSE,A6X942,SH2D4B,MSTRG.1653.1.p1,MSTRG.1653
Ler_110909.p16.p2,sp|Q8I7P9|POL5_DROME,Q8I7P9,POL,Ler_110909.p16,nbisL1-mrna-857
Ler_110909.p16.p8,sp|P04323|POL3_DROME,P04323,POL,Ler_110909.p16,nbisL1-mrna-857
MSTRG.1787.1.p2.p2,sp|Q28J34|ERLN2_XENTR,Q28J34,ERLIN2,MSTRG.1787.1.p2,MSTRG.1787
MSTRG.1759.1.p1.p1,sp|P40424|PBX1_HUMAN,P40424,PBX1,MSTRG.1759.1.p1,MSTRG.1759
Ler_76784.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_76784.p1,nbisL1-mrna-855
Ler_356060.p1.p1,sp|Q9UBS5|GABR1_HUMAN,Q9UBS5,GABBR1,Ler_356060.p1,nbisL1-mrna-1009
MSTRG.1537.1.p1.p1,sp|Q99946|PRRT1_HUMAN,Q99946,PRRT1,MSTRG.1537.1.p1,MSTRG.1537
MSTRG.1755.1.p2.p2,sp|Q9H7P6|MB12B_HUMAN,Q9H7P6,MVB12B,MSTRG.1755.1.p2,MSTRG.1755
MSTRG.1531.1.p1.p1,sp|Q9Y6K8|KAD5_HUMAN,Q9Y6K8,AK5,MSTRG.1531.1.p1,MSTRG.1531
MSTRG.1554.1.p5.p1,sp|O88533|DDC_MOUSE,O88533,DDC,MSTRG.1554.1.p5,MSTRG.1554
Ler_325204.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_325204.p1,nbisL1-mrna-808
MSTRG.1823.2.p3.p2,sp|Q8I7P9|POL5_DROME,Q8I7P9,POL,MSTRG.1823.2.p3,MSTRG.1823
Ler_38751.p5.p5,sp|Q92643|GPI8_HUMAN,Q92643,PIGK,Ler_38751.p5,nbisL1-mrna-905
Ler_38751.p5.p8,sp|Q8T4E1|GPI8_DROME,Q8T4E1,PIG-K,Ler_38751.p5,nbisL1-mrna-905
Ler_356156.p2.p1,sp|Q8I7P9|POL5_DROME,Q8I7P9,POL,Ler_356156.p2,nbisL1-mrna-833
Ler_356156.p2.p2,sp|P04323|POL3_DROME,P04323,POL,Ler_356156.p2,nbisL1-mrna-833
MSTRG.1535.4.p1.p1,sp|Q5BLE2|MIGA2_DANRE,Q5BLE2,MIGA2,MSTRG.1535.4.p1,MSTRG.1535
MSTRG.1615.1.p3.p1,sp|Q5VT40|FA78B_HUMAN,Q5VT40,FAM78B,MSTRG.1615.1.p3,MSTRG.1615
MSTRG.1789.1.p1.p1,sp|Q8AYS8|KCMA1_CHICK,Q8AYS8,KCNMA1,MSTRG.1789.1.p1,MSTRG.1789
MSTRG.1826.1.p1.p1,sp|Q5W7F1|ASAH2_DANRE,Q5W7F1,ASAH2,MSTRG.1826.1.p1,MSTRG.1826
MSTRG.1776.1.p2.p2,sp|O76070|SYUG_HUMAN,O76070,SNCG,MSTRG.1776.1.p2,MSTRG.1776
MSTRG.1608.1.p1.p1,sp|O14525|ASTN1_HUMAN,O14525,ASTN1,MSTRG.1608.1.p1,MSTRG.1608
MSTRG.1649.1.p1.p1,sp|Q7ZY36|SCM1A_XENLA,Q7ZY36,SLC25A24-A,MSTRG.1649.1.p1,MSTRG.1649
MSTRG.1649.1.p1.p2,sp|Q6NYZ6|SCM2A_DANRE,Q6NYZ6,SLC25A25A,MSTRG.1649.1.p1,MSTRG.1649
Ler_76872.p3.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_76872.p3,nbisL1-mrna-846
Ler_76872.p3.p9,sp|P10394|POL4_DROME,P10394,POL,Ler_76872.p3,nbisL1-mrna-846
MSTRG.1669.1.p1.p1,sp|Q96E35|ZMY19_HUMAN,Q96E35,ZMYND19,MSTRG.1669.1.p1,MSTRG.1669
MSTRG.1506.2.p1.p1,sp|Q68G74|LHX8_HUMAN,Q68G74,LHX8,MSTRG.1506.2.p1,MSTRG.1506
MSTRG.1692.1.p1.p1,sp|O15247|CLIC2_HUMAN,O15247,CLIC2,MSTRG.1692.1.p1,MSTRG.1692
MSTRG.1692.1.p1.p8,sp|Q9Y696|CLIC4_HUMAN,Q9Y696,CLIC4,MSTRG.1692.1.p1,MSTRG.1692
MSTRG.1743.1.p1.p1,sp|P13674|P4HA1_HUMAN,P13674,P4HA1,MSTRG.1743.1.p1,MSTRG.1743
Ler_203271.p1.p1,sp|P49796|RGS3_HUMAN,P49796,RGS3,Ler_203271.p1,nbisL1-mrna-1042
MSTRG.1763.1.p6.p1,sp|Q710E6|SUCO_RAT,Q710E6,SUCO,MSTRG.1763.1.p6,MSTRG.1763
MSTRG.1763.1.p6.p4,sp|Q8C341|SUCO_MOUSE,Q8C341,SUCO,MSTRG.1763.1.p6,MSTRG.1763
MSTRG.1763.1.p6.p6,sp|Q9UBS9|SUCO_HUMAN,Q9UBS9,SUCO,MSTRG.1763.1.p6,MSTRG.1763
Ler_294259.p1.p1,sp|O95999|BCL10_HUMAN,O95999,BCL10,Ler_294259.p1,nbisL1-mrna-893
Ler_93405.p8.p1,sp|Q9N126|RDH8_BOVIN,Q9N126,RDH8,Ler_93405.p8,nbisL1-mrna-915
MSTRG.1580.1.p4.p1,sp|Q8BYI9|TENR_MOUSE,Q8BYI9,TNR,MSTRG.1580.1.p4,MSTRG.1580
MSTRG.1580.1.p4.p2,sp|Q00546|TENR_CHICK,Q00546,TNR,MSTRG.1580.1.p4,MSTRG.1580
MSTRG.1558.1.p1.p1,sp|Q9Y330|ZBT12_HUMAN,Q9Y330,ZBTB12,MSTRG.1558.1.p1,MSTRG.1558
Ler_313696.p1.p1,sp|Q9Y6U3|SCIN_HUMAN,Q9Y6U3,SCIN,Ler_313696.p1,nbisL1-mrna-787
Ler_313696.p1.p3,sp|Q5ZIV9|SCIN_CHICK,Q5ZIV9,SCIN,Ler_313696.p1,nbisL1-mrna-787
Ler_313696.p1.p8,sp|Q60604|SCIN_MOUSE,Q60604,SCIN,Ler_313696.p1,nbisL1-mrna-787
MSTRG.1677.1.p1.p1,sp|Q8N9I0|SYT2_HUMAN,Q8N9I0,SYT2,MSTRG.1677.1.p1,MSTRG.1677
Ler_182972.p1.p1,sp|Q8AW92|LMO4A_XENLA,Q8AW92,LMO4-A,Ler_182972.p1,nbisL1-mrna-973
Ler_76697.p1.p1,sp|Q8R4F1|NTNG2_MOUSE,Q8R4F1,NTNG2,Ler_76697.p1,nbisL1-mrna-925
Ler_294244.p1.p1,sp|P61763|STXB1_BOVIN,P61763,STXBP1,Ler_294244.p1,nbisL1-mrna-960
Ler_294244.p1.p3,sp|P61763|STXB1_BOVIN,P61763,STXBP1,Ler_294244.p1,nbisL1-mrna-960
Ler_294244.p1.p8,sp|Q6R748|STXB1_CHICK,Q6R748,STXBP1,Ler_294244.p1,nbisL1-mrna-960
MSTRG.1720.1.p1.p1,sp|Q76KB1|HS2ST_CHICK,Q76KB1,HS2ST1,MSTRG.1720.1.p1,MSTRG.1720
MSTRG.1720.1.p1.p4,sp|Q76KB1|HS2ST_CHICK,Q76KB1,HS2ST1,MSTRG.1720.1.p1,MSTRG.1720
Ler_76691.p1.p1,sp|Q9Y6U3|SCIN_HUMAN,Q9Y6U3,SCIN,Ler_76691.p1,nbisL1-mrna-914
Ler_76691.p1.p2,sp|O93510|GELS_CHICK,O93510,GSN,Ler_76691.p1,nbisL1-mrna-914
MSTRG.1490.1.p3.p3,sp|A2AWA9|RBGP1_MOUSE,A2AWA9,RABGAP1,MSTRG.1490.1.p3,MSTRG.1490
Ler_38829.p1.p1,sp|Q5XH95|SCMC2_XENTR,Q5XH95,SLC25A25,Ler_38829.p1,nbisL1-mrna-828
Ler_38829.p1.p2,sp|A5PJZ1|SCMC1_BOVIN,A5PJZ1,SLC25A24,Ler_38829.p1,nbisL1-mrna-828
MSTRG.1732.2.p2.p1,sp|A0MSJ1|CRA1B_DANRE,A0MSJ1,COL27A1B,MSTRG.1732.2.p2,MSTRG.1732
MSTRG.1732.2.p2.p2,sp|Q8IZC6|CORA1_HUMAN,Q8IZC6,COL27A1,MSTRG.1732.2.p2,MSTRG.1732
MSTRG.1767.2.p1.p1,sp|Q6JQN1|ACD10_HUMAN,Q6JQN1,ACAD10,MSTRG.1767.2.p1,MSTRG.1767
MSTRG.1717.1.p1.p1,sp|Q8WW01|SEN15_HUMAN,Q8WW01,TSEN15,MSTRG.1717.1.p1,MSTRG.1717
MSTRG.1747.2.p1.p1,sp|Q14C86|GAPD1_HUMAN,Q14C86,GAPVD1,MSTRG.1747.2.p1,MSTRG.1747
MSTRG.1747.2.p1.p2,sp|Q6PAR5|GAPD1_MOUSE,Q6PAR5,GAPVD1,MSTRG.1747.2.p1,MSTRG.1747
MSTRG.1741.3.p3.p2,sp|Q70EL1|UBP54_HUMAN,Q70EL1,USP54,MSTRG.1741.3.p3,MSTRG.1741
MSTRG.1700.1.p3.p1,sp|A4IFA3|GT2D2_BOVIN,A4IFA3,GTF2IRD2,MSTRG.1700.1.p3,MSTRG.1700
MSTRG.1700.1.p3.p3,sp|Q99NI3|GT2D2_MOUSE,Q99NI3,GTF2IRD2,MSTRG.1700.1.p3,MSTRG.1700
MSTRG.1761.1.p1.p1,sp|Q9W6S3|SIN1_CHICK,Q9W6S3,MAPKAP1,MSTRG.1761.1.p1,MSTRG.1761
MSTRG.1786.2.p2.p1,sp|P81721|VACHT_TETCF,P81721,#N/A,MSTRG.1786.2.p2,MSTRG.1786
Ler_313808.p2.p1,sp|Q8CFJ9|WDR24_MOUSE,Q8CFJ9,WDR24,Ler_313808.p2,nbisL1-mrna-971
Ler_313808.p2.p2,sp|Q5ZMV9|WDR24_CHICK,Q5ZMV9,WDR24,Ler_313808.p2,nbisL1-mrna-971
Ler_313808.p2.p5,sp|Q5ZMV9|WDR24_CHICK,Q5ZMV9,WDR24,Ler_313808.p2,nbisL1-mrna-971
Ler_313706.p1.p1,sp|P48053|YPD1_CAEEL,P48053,C05D11.1,Ler_313706.p1,nbisL1-mrna-791
Ler_313706.p1.p3,sp|P48053|YPD1_CAEEL,P48053,C05D11.1,Ler_313706.p1,nbisL1-mrna-791
Ler_355962.p1.p1,sp|Q05932|FOLC_HUMAN,Q05932,FPGS,Ler_355962.p1,nbisL1-mrna-830
Ler_355962.p1.p3,sp|Q924L9|FOLC_CRIGR,Q924L9,FPGS,Ler_355962.p1,nbisL1-mrna-830
Ler_355962.p1.p7,sp|F4J2K2|FPGS2_ARATH,F4J2K2,FPGS2,Ler_355962.p1,nbisL1-mrna-830
Ler_355962.p1.p9,sp|Q924L9|FOLC_CRIGR,Q924L9,FPGS,Ler_355962.p1,nbisL1-mrna-830
Ler_76759.p2.p2,sp|Q5ZJK0|RGPS1_CHICK,Q5ZJK0,RALGPS1,Ler_76759.p2,nbisL1-mrna-954
MSTRG.1646.1.p1.p1,sp|E1BVR9|HENMT_CHICK,E1BVR9,HENMT1,MSTRG.1646.1.p1,MSTRG.1646
MSTRG.1494.1.p2.p1,sp|Q06348|PRRX2_MOUSE,Q06348,PRRX2,MSTRG.1494.1.p2,MSTRG.1494
MSTRG.1525.1.p2.p2,sp|P00191|CP21A_BOVIN,P00191,CYP21,MSTRG.1525.1.p2,MSTRG.1525
MSTRG.1518.1.p1.p1,sp|Q7SZQ7|SURF4_DANRE,Q7SZQ7,SURF4,MSTRG.1518.1.p1,MSTRG.1518
MSTRG.1666.3.p1.p1,sp|Q6X4W1|NSMF_HUMAN,Q6X4W1,NSMF,MSTRG.1666.3.p1,MSTRG.1666
MSTRG.1593.1.p2.p2,sp|O42101|NR5A2_CHICK,O42101,NR5A2,MSTRG.1593.1.p2,MSTRG.1593
MSTRG.1593.1.p2.p3,sp|O42101|NR5A2_CHICK,O42101,NR5A2,MSTRG.1593.1.p2,MSTRG.1593
MSTRG.1836.1.p1.p1,sp|O15360|FANCA_HUMAN,O15360,FANCA,MSTRG.1836.1.p1,MSTRG.1836
Ler_313775.p3.p3,sp|Q2TBQ8|6PGL_BOVIN,Q2TBQ8,PGLS,Ler_313775.p3,nbisL1-mrna-969
Ler_356121.p1.p1,sp|P09917|LOX5_HUMAN,P09917,ALOX5,Ler_356121.p1,nbisL1-mrna-1001
Ler_356121.p1.p2,sp|P12527|LOX5_RAT,P12527,ALOX5,Ler_356121.p1,nbisL1-mrna-1001
Ler_356121.p1.p3,sp|P09917|LOX5_HUMAN,P09917,ALOX5,Ler_356121.p1,nbisL1-mrna-1001
MSTRG.1690.1.p3.p1,sp|P82458|TRI18_RAT,P82458,MID1,MSTRG.1690.1.p3,MSTRG.1690
MSTRG.1690.1.p3.p3,sp|Q14258|TRI25_HUMAN,Q14258,TRIM25,MSTRG.1690.1.p3,MSTRG.1690
MSTRG.1704.1.p1.p1,sp|Q148F0|URM1_BOVIN,Q148F0,URM1,MSTRG.1704.1.p1,MSTRG.1704
MSTRG.1560.1.p1.p1,sp|Q8JGM4|QSOX1_CHICK,Q8JGM4,QSOX1,MSTRG.1560.1.p1,MSTRG.1560
MSTRG.1771.1.p2.p1,sp|Q96RW7|HMCN1_HUMAN,Q96RW7,HMCN1,MSTRG.1771.1.p2,MSTRG.1771
MSTRG.1771.1.p2.p2,sp|D3YXG0|HMCN1_MOUSE,D3YXG0,HMCN1,MSTRG.1771.1.p2,MSTRG.1771
MSTRG.1771.1.p2.p3,sp|D3YXG0|HMCN1_MOUSE,D3YXG0,HMCN1,MSTRG.1771.1.p2,MSTRG.1771
MSTRG.1771.1.p2.p4,sp|D3YXG0|HMCN1_MOUSE,D3YXG0,HMCN1,MSTRG.1771.1.p2,MSTRG.1771
MSTRG.1630.1.p4.p4,sp|Q7Z6K4|NRARP_HUMAN,Q7Z6K4,NRARP,MSTRG.1630.1.p4,MSTRG.1630
MSTRG.1643.2.p5.p1,sp|Q8VDU0|GPSM2_MOUSE,Q8VDU0,GPSM2,MSTRG.1643.2.p5,MSTRG.1643
Ler_325131.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_325131.p1,nbisL1-mrna-986
Ler_325103.p1.p1,sp|Q5FWR0|SMRCD_XENTR,Q5FWR0,SMARCAD1,Ler_325103.p1,nbisL1-mrna-802
Ler_325103.p1.p2,sp|E7F1C4|SMRDB_DANRE,E7F1C4,SMARCAD1B,Ler_325103.p1,nbisL1-mrna-802
Ler_325103.p1.p4,sp|Q04692|SMRCD_MOUSE,Q04692,SMARCAD1,Ler_325103.p1,nbisL1-mrna-802
Ler_325103.p1.p5,sp|Q04692|SMRCD_MOUSE,Q04692,SMARCAD1,Ler_325103.p1,nbisL1-mrna-802
MSTRG.1783.7.p1.p1,sp|Q148N0|ODO1_BOVIN,Q148N0,OGDH,MSTRG.1783.7.p1,MSTRG.1783
Ler_246316.p1.p1,sp|Q28CY9|XPR1_XENTR,Q28CY9,XPR1,Ler_246316.p1,nbisL1-mrna-771
Ler_246316.p1.p2,sp|Q6DD44|XPR1_XENLA,Q6DD44,XPR1,Ler_246316.p1,nbisL1-mrna-771
Ler_246316.p1.p3,sp|Q9QZ70|S53A1_CRIGR,Q9QZ70,XPR1,Ler_246316.p1,nbisL1-mrna-771
Ler_246316.p1.p5,sp|A8DZH4|XPR1_DANRE,A8DZH4,XPR1,Ler_246316.p1,nbisL1-mrna-771
Ler_246316.p1.p11,sp|Q562B4|NACC2_RAT,Q562B4,NACC2,Ler_246316.p1,nbisL1-mrna-771
Ler_356050.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_356050.p1,nbisL1-mrna-1000
MSTRG.1521.1.p2.p2,sp|O15260|SURF4_HUMAN,O15260,SURF4,MSTRG.1521.1.p2,MSTRG.1521
MSTRG.1602.1.p1.p1,sp|Q96LB4|VATG3_HUMAN,Q96LB4,ATP6V1G3,MSTRG.1602.1.p1,MSTRG.1602
MSTRG.1685.2.p1.p1,sp|Q9UMR5|PPT2_HUMAN,Q9UMR5,PPT2,MSTRG.1685.2.p1,MSTRG.1685
Ler_355978.p3.p3,sp|Q14DL3|LRIQ3_MOUSE,Q14DL3,LRRIQ3,Ler_355978.p3,nbisL1-mrna-825
Ler_325075.p3.p3,sp|Q2PT31|MYOC_CANLF,Q2PT31,MYOC,Ler_325075.p3,nbisL1-mrna-984
Ler_246464.p2.p2,sp|Q52KK3|S2551_RAT,Q52KK3,SLC25A51,Ler_246464.p2,nbisL1-mrna-860
Ler_325095.p1.p1,sp|Q8C1B1|CAMP2_MOUSE,Q8C1B1,CAMSAP2,Ler_325095.p1,nbisL1-mrna-770
Ler_325095.p1.p2,sp|A5WUN7|CAM1B_DANRE,A5WUN7,CAMSAP1B,Ler_325095.p1,nbisL1-mrna-770
MSTRG.1745.1.p1.p2,sp|Q91WS0|CISD1_MOUSE,Q91WS0,CISD1,MSTRG.1745.1.p1,MSTRG.1745
Ler_110788.p1.p1,sp|Q16854|DGUOK_HUMAN,Q16854,DGUOK,Ler_110788.p1,nbisL1-mrna-856
MSTRG.1715.1.p1.p1,sp|Q7ZV79|UCK2B_DANRE,Q7ZV79,UCK2B,MSTRG.1715.1.p1,MSTRG.1715
MSTRG.1765.2.p2.p1,sp|Q2HXL6|EDEM3_MOUSE,Q2HXL6,EDEM3,MSTRG.1765.2.p2,MSTRG.1765
MSTRG.1765.2.p2.p2,sp|Q6GQB9|EDEM3_XENLA,Q6GQB9,EDEM3,MSTRG.1765.2.p2,MSTRG.1765
MSTRG.1564.4.p2.p1,sp|Q80TY0|FNBP1_MOUSE,Q80TY0,FNBP1,MSTRG.1564.4.p2,MSTRG.1564
MSTRG.1564.4.p2.p2,sp|Q96RU3|FNBP1_HUMAN,Q96RU3,FNBP1,MSTRG.1564.4.p2,MSTRG.1564
MSTRG.1564.4.p2.p4,sp|Q5T0N5|FBP1L_HUMAN,Q5T0N5,FNBP1L,MSTRG.1564.4.p2,MSTRG.1564
Ler_38769.p1.p1,sp|Q8NHY2|COP1_HUMAN,Q8NHY2,COP1,Ler_38769.p1,nbisL1-mrna-931
Ler_38769.p1.p2,sp|Q8NHY2|COP1_HUMAN,Q8NHY2,COP1,Ler_38769.p1,nbisL1-mrna-931
MSTRG.1844.1.p1.p1,sp|Q8VCS3|XYLK_MOUSE,Q8VCS3,FAM20B,MSTRG.1844.1.p1,MSTRG.1844
MSTRG.1769.1.p1.p1,sp|Q9Y3A6|TMED5_HUMAN,Q9Y3A6,TMED5,MSTRG.1769.1.p1,MSTRG.1769
MSTRG.1719.1.p1.p1,sp|A5PK45|GT251_BOVIN,A5PK45,COLGALT1,MSTRG.1719.1.p1,MSTRG.1719
MSTRG.1995.1.p1.p1,sp|Q9GJU1|DRD2_CANLF,Q9GJU1,DRD2,MSTRG.1995.1.p1,MSTRG.1995
MSTRG.1954.1.p1.p1,sp|Q80X80|C2C2L_MOUSE,Q80X80,C2CD2L,MSTRG.1954.1.p1,MSTRG.1954
MSTRG.1903.1.p1.p1,sp|Q8N3J6|CADM2_HUMAN,Q8N3J6,CADM2,MSTRG.1903.1.p1,MSTRG.1903
